county,population
"Dixie,FL",17124
"Duval,FL",1016536
"Escambia,FL",324878
"Flagler,FL",126705
"Franklin,FL",12498
"Gadsden,FL",43403
"Gilchrist,FL",18992
"Glades,FL",12454
"Gulf,FL",15314
"Hamilton,FL",13217
"Hardee,FL",25645
"Hendry,FL",41339
"Hernando,FL",206896
"Highlands,FL",105618
"Hillsborough,FL",1513301
"Holmes,FL",19651
"Indian River,FL",167352
"Jackson,FL",48211
"Jefferson,FL",15042
"Lafayette,FL",7786
"Lake,FL",410139
"Lee,FL",822453
"Leon,FL",297369
"Levy,FL",45260
"Liberty,FL",7603
"Madison,FL",18198
"Manatee,FL",429125
"Marion,FL",396415
"Martin,FL",162006
"Miami-Dade,FL",2673837
"Monroe,FL",81708
"Nassau,FL",97899
"Okaloosa,FL",216482
"Okeechobee,FL",40412
"Orange,FL",1452726
"Osceola,FL",422545
"Palm Beach,FL",1518477
"Pasco,FL",608794
"Pinellas,FL",961739
"Polk,FL",787404
"Putnam,FL",74731
"St Johns,FL",306841
"St Lucie,FL",358704
"Santa Rosa,FL",198268
"Sarasota,FL",462286
"Seminole,FL",478772
"Sumter,FL",144970
"Suwannee,FL",45411
"Taylor,FL",21283
"Union,FL",15460
"Volusia,FL",579192
"Wakulla,FL",35178
"Walton,FL",83304
"Washington,FL",25414
"Appling,GA",18428
"Atkinson,GA",8183
"Bacon,GA",11191
"Baker,GA",2788
"Baldwin,GA",43635
"Banks,GA",19328
"Barrow,GA",89299
"Bartow,GA",112816
"Ben Hill,GA",17069
"Berrien,GA",18214
"Bibb,GA",156197
"Bleckley,GA",12257
"Brantley,GA",18183
"Brooks,GA",16253
"Bryan,GA",48225
"Bulloch,GA",83059
"Burke,GA",24388
"Butts,GA",26649
"Calhoun,GA",5469
"Camden,GA",57013
"Candler,GA",11000
"Carroll,GA",124592
"Catoosa,GA",68826
"Charlton,GA",12781
"Chatham,GA",301107
"Chattahoochee,GA",8819
"Chattooga,GA",24936
"Cherokee,GA",281278
"Clarke,GA",129875
"Clay,GA",2845
"Clayton,GA",296564
"Clinch,GA",6662
"Cobb,GA",771952
"Coffee,GA",43172
"Colquitt,GA",45762
"Columbia,GA",162419
"Cook,GA",17404
"Coweta,GA",152882
"Crawford,GA",12140
"Crisp,GA",19708
